iter	Passed	Remaining
0	142	142078
1	144	72101
2	147	48861
3	149	37214
4	152	30268
5	156	25913
6	158	22514
7	161	19971
8	163	18001
9	165	16406
10	168	15121
11	172	14206
12	174	13284
13	177	12487
14	179	11802
15	181	11186
16	184	10650
17	188	10276
18	191	9889
19	194	9508
20	196	9166
21	199	8854
22	201	8578
23	205	8349
24	207	8098
25	209	7864
26	212	7655
27	214	7456
28	217	7293
29	220	7138
30	223	6995
31	226	6846
32	228	6709
33	231	6571
34	235	6488
35	238	6374
36	240	6253
37	242	6137
38	244	6031
39	247	5934
40	251	5882
41	254	5796
42	256	5705
43	259	5631
44	261	5556
45	264	5478
46	268	5445
47	271	5383
48	273	5316
49	276	5255
50	279	5198
51	283	5160
52	286	5120
53	289	5070
54	292	5025
55	295	4987
56	299	4948
57	304	4948
58	307	4910
59	311	4884
60	318	4896
61	321	4861
62	323	4818
63	328	4797
64	333	4790
65	337	4781
66	340	4745
67	343	4712
68	347	4695
69	350	4661
70	353	4624
71	356	4590
72	361	4586
73	364	4560
74	368	4545
75	372	4526
76	376	4513
77	380	4493
78	384	4485
79	387	4458
80	391	4445
81	394	4421
82	397	4396
83	400	4367
84	402	4336
85	405	4309
86	409	4301
87	412	4274
88	414	4246
89	416	4215
90	419	4187
91	422	4167
92	426	4155
93	428	4130
94	430	4102
95	433	4079
96	435	4055
97	438	4039
98	441	4018
99	443	3994
100	446	3972
101	448	3946
102	450	3923
103	452	3899
104	456	3891
105	458	3868
106	460	3846
107	463	3824
108	465	3802
109	467	3782
110	471	3773
111	473	3755
112	476	3736
113	478	3719
114	480	3700
115	483	3683
116	486	3668
117	489	3657
118	491	3640
119	494	3629
120	497	3616
121	500	3602
122	505	3601
123	507	3585
124	510	3573
125	513	3561
126	516	3547
127	521	3550
128	524	3541
129	527	3533
130	530	3518
131	533	3504
132	537	3506
133	540	3494
134	544	3488
135	547	3479
136	552	3483
137	556	3474
138	558	3461
139	562	3452
140	565	3443
141	570	3444
142	572	3430
143	574	3417
144	577	3403
145	579	3389
146	582	3381
147	586	3374
148	588	3362
149	591	3351
150	593	3338
151	596	3328
152	601	3327
153	603	3316
154	606	3305
155	608	3292
156	611	3283
157	615	3278
158	619	3275
159	622	3266
160	625	3260
161	627	3248
162	630	3238
163	634	3231
164	636	3220
165	638	3210
166	641	3199
167	644	3191
168	648	3187
169	650	3177
170	653	3167
171	656	3158
172	658	3150
173	662	3144
174	665	3135
175	667	3127
176	670	3119
177	673	3110
178	676	3102
179	680	3101
180	683	3094
181	686	3084
182	689	3078
183	692	3071
184	697	3070
185	700	3063
186	703	3057
187	706	3051
188	712	3056
189	715	3048
190	718	3043
191	721	3036
192	724	3028
193	728	3028
194	732	3023
195	736	3022
196	740	3016
197	744	3015
198	747	3008
199	750	3000
200	753	2996
201	759	3001
202	763	2997
203	766	2990
204	770	2986
205	773	2979
206	777	2978
207	780	2971
208	783	2964
209	786	2958
210	789	2952
211	793	2948
212	796	2942
213	799	2936
214	802	2929
215	806	2927
216	809	2922
217	812	2914
218	814	2906
219	817	2897
220	819	2888
221	823	2885
222	825	2877
223	828	2868
224	830	2859
225	832	2850
226	834	2841
227	837	2835
228	840	2830
229	842	2821
230	845	2813
231	847	2804
232	849	2796
233	851	2787
234	855	2784
235	857	2777
236	860	2769
237	862	2761
238	864	2752
239	866	2745
240	869	2738
241	872	2732
242	874	2723
243	876	2716
244	879	2708
245	881	2701
246	883	2693
247	887	2691
248	890	2685
249	892	2677
250	894	2670
251	897	2663
252	899	2656
253	903	2652
254	905	2646
255	909	2641
256	911	2635
257	913	2628
258	916	2621
259	919	2617
260	921	2610
261	924	2603
262	926	2596
263	928	2589
264	931	2582
265	934	2578
266	937	2573
267	940	2567
268	942	2561
269	944	2554
270	947	2547
271	950	2543
272	953	2539
273	956	2533
274	958	2527
275	961	2521
276	963	2515
277	967	2512
278	970	2506
279	972	2500
280	974	2494
281	977	2487
282	979	2481
283	982	2477
284	985	2472
285	987	2466
286	990	2460
287	992	2454
288	995	2448
289	998	2443
290	1001	2440
291	1003	2433
292	1006	2428
293	1008	2421
294	1010	2416
295	1013	2410
296	1017	2407
297	1019	2402
298	1021	2396
299	1024	2390
300	1026	2384
301	1030	2382
302	1033	2377
303	1036	2372
304	1038	2367
305	1041	2361
306	1043	2355
307	1047	2353
308	1050	2348
309	1052	2343
310	1055	2338
311	1057	2332
312	1060	2326
313	1063	2323
314	1066	2319
315	1069	2314
316	1071	2309
317	1074	2304
318	1077	2301
319	1080	2296
320	1083	2292
321	1086	2287
322	1089	2282
323	1091	2277
324	1095	2274
325	1098	2270
326	1100	2265
327	1103	2261
328	1106	2256
329	1109	2252
330	1113	2250
331	1116	2246
332	1118	2241
333	1122	2237
334	1125	2234
335	1129	2231
336	1132	2228
337	1135	2224
338	1138	2220
339	1143	2219
340	1145	2214
341	1148	2209
342	1151	2206
343	1154	2202
344	1159	2201
345	1162	2198
346	1165	2194
347	1168	2189
348	1171	2185
349	1175	2183
350	1178	2178
351	1181	2175
352	1184	2171
353	1187	2166
354	1191	2165
355	1194	2160
356	1197	2156
357	1200	2152
358	1203	2148
359	1206	2145
360	1209	2141
361	1212	2137
362	1215	2132
363	1218	2128
364	1222	2126
365	1226	2123
366	1229	2120
367	1232	2116
368	1235	2112
369	1239	2110
370	1242	2106
371	1245	2101
372	1247	2097
373	1250	2093
374	1254	2090
375	1257	2086
376	1260	2082
377	1263	2078
378	1265	2073
379	1269	2070
380	1272	2067
381	1275	2062
382	1277	2058
383	1280	2054
384	1283	2049
385	1287	2048
386	1290	2044
387	1293	2040
388	1297	2037
389	1300	2034
390	1304	2032
391	1308	2029
392	1311	2025
393	1316	2025
394	1320	2023
395	1324	2019
396	1328	2017
397	1331	2014
398	1335	2012
399	1338	2008
400	1341	2004
401	1345	2000
402	1348	1998
403	1353	1996
404	1356	1993
405	1360	1990
406	1363	1987
407	1367	1984
408	1370	1980
409	1373	1976
410	1376	1973
411	1379	1969
412	1382	1965
413	1385	1960
414	1387	1955
415	1389	1950
416	1391	1946
417	1394	1941
418	1397	1937
419	1399	1933
420	1402	1928
421	1404	1923
422	1406	1918
423	1408	1913
424	1410	1908
425	1414	1905
426	1416	1900
427	1418	1895
428	1420	1890
429	1422	1886
430	1425	1881
431	1428	1877
432	1431	1874
433	1433	1869
434	1435	1865
435	1438	1860
436	1440	1855
437	1443	1851
438	1446	1848
439	1448	1843
440	1450	1838
441	1452	1834
442	1455	1829
443	1457	1824
444	1460	1821
445	1462	1817
446	1465	1812
447	1467	1807
448	1469	1803
449	1471	1798
450	1473	1794
451	1477	1791
452	1480	1787
453	1482	1782
454	1484	1778
455	1486	1773
456	1489	1769
457	1492	1766
458	1494	1761
459	1497	1757
460	1499	1753
461	1501	1748
462	1503	1743
463	1505	1739
464	1509	1737
465	1511	1732
466	1514	1728
467	1516	1723
468	1518	1719
469	1520	1714
470	1522	1710
471	1526	1707
472	1528	1702
473	1530	1698
474	1532	1693
475	1534	1689
476	1536	1684
477	1538	1680
478	1542	1677
479	1544	1672
480	1546	1668
481	1548	1663
482	1550	1659
483	1552	1654
484	1554	1650
485	1557	1647
486	1560	1644
487	1563	1640
488	1565	1635
489	1567	1631
490	1569	1626
491	1572	1623
492	1574	1619
493	1576	1615
494	1578	1610
495	1580	1606
496	1582	1601
497	1584	1597
498	1586	1593
